419,70,22,54,27
420,16,9,171,44
421,4,4,2,6
422,17,7,160,39
423,26,17,118,38
424,23,9,8,21
425,8,4,38,20
426,10,6,7,12
427,16,5,35,36
428,57,23,59,31
429,30,6,62,22
430,46,11,112,26
431,70,23,113,43
432,70,38,42,49
433,36,13,30,32
434,22,28,30,26
435,103,41,55,55
436,44,16,35,42
437,28,19,45,22
438,30,11,13,17
439,35,25,34,30
440,56,32,57,51
441,39,21,118,38
442,43,24,107,48
443,49,22,102,43
444,74,26,8,31
445,65,44,30,43
446,52,26,34,24
447,99,46,38,57
448,92,157,42,107
449,31,63,10,37
450,29,45,2,29
451,49,127,25,71
452,29,88,24,50
453,25,45,24,20
454,36,32,20,34
455,34,75,17,49
456,31,77,15,39
457,9,36,17,14
458,8,27,19,16
459,12,54,10,31
460,62,151,19,82
461,50,99,26,61
462,61,55,22,47
463,74,197,42,87
464,110,69,91,63
465,40,35,24,17
466,38,28,9,22
467,79,109,44,57
468,31,38,14,20
469,9,18,1,11
470,19,15,10,9
471,15,60,6,22
472,40,18,5,28
473,18,15,45,23
474,18,8,26,21
475,29,27,18,24
476,33,80,18,40
477,29,51,9,23
478,23,47,15,24
479,73,112,14,58
480,68,58,47,47
481,20,28,16,19
482,26,10,4,11
483,65,62,29,30
484,33,34,42,29
485,16,11,50,31
486,13,14,70,25
487,39,59,47,51
488,44,44,52,33
489,13,8,63,23
490,25,11,39,32
491,35,45,57,44
492,55,55,31,32
493,22,26,29,20
494,35,19,44,19
495,58,62,54,47
496,152,143,41,89
497,52,75,20,55
498,53,92,4,46
499,110,193,28,88
500,77,117,22,52
501,42,70,17,32
502,36,48,30,39
503,64,168,20,60
504,119,78,26,64
505,53,64,74,49
506,47,50,46,49
507,91,95,33,54
508,141,199,27,108
509,40,115,41,53
510,68,115,108,91
511,89,263,57,134
512,299,463,130,240
513,136,118,41,90
514,77,119,37,64
515,244,270,144,143
516,130,135,54,56
517,47,39,14,28
518,77,49,28,38
519,116,107,15,73
520,196,275,45,98
521,120,109,85,71
522,106,107,43,67
523,120,150,52,101
524,109,214,35,102
525,90,51,26,38
526,74,87,39,49
527,175,237,83,131
528,93,78,80,57
529,40,22,29,28
530,38,34,24,27
531,83,47,56,41
532,48,28,30,36
533,24,11,25,17
534,33,12,28,25
535,44,29,3,21
536,28,33,53,34
537,27,10,51,25
538,36,20,85,29
539,40,13,31,31
540,24,46,12,30
541,26,21,5,18
542,40,23,10,29
543,81,86,33,40
544,70,109,27,62
545,24,17,4,13
546,33,24,3,19
547,63,67,17,34
548,41,60,33,30
549,20,18,13,15
550,24,21,28,12
551,21,52,5,18
552,43,47,5,26
553,22,16,6,8
554,36,26,3,15
555,47,48,2,27
556,41,47,15,37
557,28,17,3,11
558,47,21,16,23
559,52,83,34,57
560,165,259,53,115
561,74,91,7,58
562,24,82,13,42
563,163,220,28,103
564,88,34,1,30
565,35,21,1,10
566,52,8,4,13
567,40,42,0,12
568,151,138,51,68
569,107,63,48,43
570,98,93,36,52
571,124,117,26,51
572,111,152,18,80
573,81,59,25,30
574,74,42,40,39
575,187,192,131,123
576,142,130,89,93
577,78,75,47,51
578,62,42,35,29
579,142,101,85,59
580,85,36,39,23
581,60,36,27,32
582,32,23,38,34
583,71,44,14,39
584,77,67,47,54
585,55,67,1024,220
586,47,45,75,40
587,41,38,49,40
588,62,76,31,43
589,66,53,52,37
590,54,27,38,34
591,131,99,99,63
592,54,32,171,61
593,22,8,76,22
594,11,2,47,22
595,54,40,94,42
596,17,10,78,30
597,12,13,26,14
598,4,1,21,20
599,12,19,26,18
600,14,8,119,39
601,13,13,121,26
602,8,6,0,1
603,22,4,115,28
604,22,19,45,21
605,19,18,9,12
606,12,19,75,18
607,38,48,85,37
608,71,21,92,50
609,21,11,34,21
610,19,13,17,19
611,79,23,98,38
612,26,9,109,31
613,8,7,2,10
614,10,6,143,40
615,33,5,3,13
616,28,17,67,27
617,10,11,117,28
